"","proteinId","...1.x","ecNum","definition","pathway","gotermID","gotermType","goAcc","kogID","kogdefine","kogClass","iprId","iprDesc","...1.y","Feature","Record.Id","Function","GeneID"
"2196",174398,1807,"2.7.1.24","Dephospho-CoA kinase.","Pantothenate and CoA biosynthesis","3736, 2578","ATP binding, dephospho-CoA kinase activity","GO:0005524, GO:0004140","KOG3220","Similar to bacterial dephospho-CoA kinase","Coenzyme transport and metabolism",NA,NA,4786,"RDEBS05823","RDEBS05823","Dephospho-CoA kinase (EC 2.7.1.24)","jgi.p|Debsub1|174398"
"2197",174404,1808,"2.4.1.-","Hexosyltransferases.","O-Glycans biosynthesis","9350, 9957, 2430, 4618, 24, 42, 45, 48, 1170, 2782, 2953, 2959, 6039, 6040, 6042, 6077, 6376, 6535, 9532, 9958, 11017, 11018, 11019, 11020, 11396, 11466, 14119, 16390, 17801, 17803, 19616, 20962, 21342, 21343","carbohydrate biosynthetic process, transferase activity, transferring hexosyl groups, UDP-glucose:glycoprotein glucosyltransferase activity, protein amino acid glycosylation, alpha-1,6-mannosyltransferase activity, alpha-1,2-mannosyltransferase activity, mannosyltransferase activity, alpha-1,3-mannosyltransferase activity, alpha-1,3-galactosyltransferase activity, glycolipid mannosyltransferase activity, oligosaccharyl transferase activity, dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity, acetylglucosaminyltransferase activity, acetylgalactosaminyltransferase activity, galactosyltransferase activity, fucosyltransferase activity, O antigen polymerase activity, lipopolysaccharide-1,6-galactosyltransferase activity, UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase activity, cellulose synthase activity, 9-phenanthrol UDP-glucuronosyltransferase activity, 1-phenanthrol glycosyltransferase activity, 9-phenanthrol glycosyltransferase activity, 1,2-dihydroxy-phenanthrene glycosyltransferase activity, phenanthrol glycosyltransferase activity, beta-1,4-mannosyltransferase activity, alpha-1,2-galactosyltransferase activity, dolichyl pyrophosphate Man7GlcNAc2 alpha-1,3-glucosyltransferase activity, dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity, dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity, inositol phosphoceramide synthase activity, glucosyltransferase activity, alpha(1,3)-fucosyltransferase activity, alpha(1,6)-fucosyltransferase activity","GO:0016051, GO:0016758, GO:0003980, GO:0006486, GO:0000009, GO:0000026, GO:0000030, GO:0000033, GO:0001962, GO:0004376, GO:0004576, GO:0004583, GO:0008375, GO:0008376, GO:0008378, GO:0008417, GO:0008755, GO:0008921, GO:0016253, GO:0016759, GO:0018715, GO:0018716, GO:0018717, GO:0018718, GO:0019112, GO:0019187, GO:0031278, GO:0033556, GO:0042281, GO:0042283, GO:0045140, GO:0046527, GO:0046920, GO:0046921","KOG1879","UDP-glucose:glycoprotein glucosyltransferase","Carbohydrate transport and metabolism",NA,NA,1457,"RDEBS24610","RDEBS24610","UDP-glucose:glycoprotein glucosyltransferase precursor (EC 2.4.1.-)","jgi.p|Debsub1|174404"
"2198",174406,1809,NA,NA,NA,"6317, 6836","3,4-dihydroxy-2-butanone-4-phosphate synthase activity, riboflavin biosynthetic process","GO:0008686, GO:0009231","KOG1284","Bifunctional GTP cyclohydrolase II/3,4-dihydroxy-2butanone-4-phosphate synthase","Coenzyme transport and metabolism",NA,NA,3719,"RDEBS12341","RDEBS12341",NA,"jgi.p|Debsub1|174406"
"2199",174447,1810,NA,NA,NA,"9367, 13392","mRNA metabolic process, ribonucleoprotein complex","GO:0016071, GO:0030529","KOG1774","Small nuclear ribonucleoprotein E","RNA processing and modification",NA,NA,2433,"RDEBS19105","RDEBS19105","U1 AND U2 SMALL NUCLEAR RIBONUCLEOPROTEIN E","jgi.p|Debsub1|174447"
"2200",174467,1811,NA,NA,NA,"2290, 3827, 9366","catalytic activity, intracellular, RNA metabolic process","GO:0003824, GO:0005622, GO:0016070",NA,NA,NA,NA,NA,1356,"RDEBS25341","RDEBS25341",NA,"jgi.p|Debsub1|174467"
"2201",174486,1812,NA,NA,NA,"5939, 2176","zinc ion binding, DNA binding","GO:0008270, GO:0003677","KOG0457","Histone acetyltransferase complex SAGA/ADA, subunit ADA2","Chromatin structure and dynamics",NA,NA,5177,"RDEBS03989","RDEBS03989","Histone acetyltransferase adaptor ADA2","jgi.p|Debsub1|174486"
"2202",174491,1813,"3.1.13.-","Exoribonucleases producing 5'-phosphomonoesters.","\N","171, 2924","3'-5'-exoribonuclease activity, 5'-3' exoribonuclease activity","GO:0000175, GO:0004534","KOG2102","Exosomal 3'-5' exoribonuclease complex, subunit Rrp44/Dis3","Translation, ribosomal structure and biogenesis",NA,NA,3716,"RDEBS12356","RDEBS12356","Exoribonuclease II (EC 3.1.13.1)","jgi.p|Debsub1|174491"
"2203",174553,1814,"1.2.1.3","Aldehyde dehydrogenase (NAD+).","1,2-Dichloroethane degradation","5830, 9710, 2473","metabolic process, oxidoreductase activity, aldehyde dehydrogenase (NAD) activity","GO:0008152, GO:0016491, GO:0004029","KOG2450","Aldehyde dehydrogenase","Energy production and conversion",NA,NA,2100,"RDEBS21016","RDEBS21016",NA,"jgi.p|Debsub1|174553"
"2204",174589,1815,NA,NA,NA,"3838, 13391, 19908","nucleus, transcription regulator activity, regulation of transcription","GO:0005634, GO:0030528, GO:0045449","KOG3169","RNA polymerase II transcriptional regulation mediator","Transcription",NA,NA,3903,"RDEBS10845","RDEBS10845","RNA polymerase II transcriptional regulation mediator","jgi.p|Debsub1|174589"
"2205",174604,1816,NA,NA,NA,"3043, 3736, 4602, 3045","protein kinase activity, ATP binding, protein amino acid phosphorylation, protein serine/threonine kinase activity","GO:0004672, GO:0005524, GO:0006468, GO:0004674","KOG0600","Cdc2-related protein kinase","Cell cycle control, cell division, chromosome partitioning",NA,NA,1692,"RDEBS23218","RDEBS23218","Cyclin-dependent kinase (EC 2.7.11.22)","jgi.p|Debsub1|174604"
"2206",174607,1817,NA,NA,NA,"2290, 4440","catalytic activity, DNA repair","GO:0003824, GO:0006281","KOG4062","6-O-methylguanine-DNA methyltransferase MGMT/MGT1, involved in DNA repair","Replication, recombination and repair",NA,NA,2796,"RDEBS17572","RDEBS17572","O6-methylguanine-DNA methyltransferase (EC 2.1.1.63)","jgi.p|Debsub1|174607"
"2207",174618,1818,"2.1.2.11","3-methyl-2-oxobutanoate hydroxymethyltransferase.","One carbon pool by folate","2330, 9246, 2290","3-methyl-2-oxobutanoate hydroxymethyltransferase activity, pantothenate biosynthetic process, catalytic activity","GO:0003864, GO:0015940, GO:0003824","KOG2949","Ketopantoate hydroxymethyltransferase","Coenzyme transport and metabolism",NA,NA,3552,"RDEBS12800","RDEBS12800","3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)","jgi.p|Debsub1|174618"
"2208",174755,1819,NA,NA,NA,"4037, 13683","cytoskeleton, regulation of actin filament polymerization","GO:0005856, GO:0030833","KOG3155","Actin-related protein Arp2/3 complex, subunit ARPC3","Cytoskeleton",NA,NA,2499,"RDEBS18857","RDEBS18857","ARP2/3 complex 21 kDa subunit","jgi.p|Debsub1|174755"
"2209",174769,1820,"2.4.1.-","Hexosyltransferases.","O-Glycans biosynthesis","2783, 4618, 9320, 24, 42, 45, 48, 1170, 2430, 2782, 2953, 2959, 6039, 6040, 6042, 6077, 6376, 6535, 9532, 9958, 11017, 11018, 11019, 11020, 11396, 11466, 14119, 16390, 17801, 17803, 19616, 20962, 21342, 21343","glycolipid 2-alpha-mannosyltransferase activity, protein amino acid glycosylation, membrane, alpha-1,6-mannosyltransferase activity, alpha-1,2-mannosyltransferase activity, mannosyltransferase activity, alpha-1,3-mannosyltransferase activity, alpha-1,3-galactosyltransferase activity, UDP-glucose:glycoprotein glucosyltransferase activity, glycolipid mannosyltransferase activity, oligosaccharyl transferase activity, dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity, acetylglucosaminyltransferase activity, acetylgalactosaminyltransferase activity, galactosyltransferase activity, fucosyltransferase activity, O antigen polymerase activity, lipopolysaccharide-1,6-galactosyltransferase activity, UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase activity, cellulose synthase activity, 9-phenanthrol UDP-glucuronosyltransferase activity, 1-phenanthrol glycosyltransferase activity, 9-phenanthrol glycosyltransferase activity, 1,2-dihydroxy-phenanthrene glycosyltransferase activity, phenanthrol glycosyltransferase activity, beta-1,4-mannosyltransferase activity, alpha-1,2-galactosyltransferase activity, dolichyl pyrophosphate Man7GlcNAc2 alpha-1,3-glucosyltransferase activity, dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity, dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity, inositol phosphoceramide synthase activity, glucosyltransferase activity, alpha(1,3)-fucosyltransferase activity, alpha(1,6)-fucosyltransferase activity","GO:0004377, GO:0006486, GO:0016020, GO:0000009, GO:0000026, GO:0000030, GO:0000033, GO:0001962, GO:0003980, GO:0004376, GO:0004576, GO:0004583, GO:0008375, GO:0008376, GO:0008378, GO:0008417, GO:0008755, GO:0008921, GO:0016253, GO:0016759, GO:0018715, GO:0018716, GO:0018717, GO:0018718, GO:0019112, GO:0019187, GO:0031278, GO:0033556, GO:0042281, GO:0042283, GO:0045140, GO:0046527, GO:0046920, GO:0046921","KOG4472","Glycolipid 2-alpha-mannosyltransferase (alpha-1,2-mannosyltransferase)","Carbohydrate transport and metabolism",NA,NA,2930,"RDEBS16818","RDEBS16818",NA,"jgi.p|Debsub1|174769"
"2210",174905,1821,"1.1.1.37","Malate dehydrogenase.","Citrate cycle (TCA cycle)","4265, 9710, 4273, 9822, 4261, 9823, 19400, 12957, 2290, 4143","tricarboxylic acid cycle intermediate metabolic process, oxidoreductase activity, malate metabolic process, malate dehydrogenase activity, glycolysis, oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor, cellular carbohydrate metabolic process, L-malate dehydrogenase activity, catalytic activity, carbohydrate metabolic process","GO:0006100, GO:0016491, GO:0006108, GO:0016615, GO:0006096, GO:0016616, GO:0044262, GO:0030060, GO:0003824, GO:0005975","KOG1494","NAD-dependent malate dehydrogenase","Energy production and conversion",NA,NA,4972,"RDEBS04836","RDEBS04836","Malate dehydrogenase (EC 1.1.1.37)","jgi.p|Debsub1|174905"
"2211",174934,1822,NA,NA,NA,"3727, 3930","protein binding, cytoplasm","GO:0005515, GO:0005737","KOG3771","Amphiphysin","Intracellular trafficking, secretion, and vesicular transport",NA,NA,3147,"RDEBS15094","RDEBS15094",NA,"jgi.p|Debsub1|174934"
"2212",174942,1823,NA,NA,NA,"3043, 3736, 4602, 3045, 3046, 3047, 3048, 3049, 3050, 3051, 3057, 3061, 3062, 3063, 3065, 3067, 3068, 3070, 3071, 3072, 3074, 3076, 3077, 3084, 6004, 6005, 6015, 6196, 10102, 10103, 11472, 12154, 17037","protein kinase activity, ATP binding, protein amino acid phosphorylation, protein serine/threonine kinase activity, transmembrane receptor protein serine/threonine kinase activity, 3-phosphoinositide-dependent protein kinase activity, DNA-dependent protein kinase activity, AMP-activated protein kinase activity, casein kinase activity, casein kinase I activity, cyclic nucleotide-dependent protein kinase activity, eukaryotic translation initiation factor 2alpha kinase activity, galactosyltransferase-associated kinase activity, glycogen synthase kinase 3 activity, calcium-dependent protein kinase C activity, atypical protein kinase C activity, receptor signaling protein serine/threonine kinase activity, NF-kappaB-inducing kinase activity, JUN kinase activity, JUN kinase kinase kinase activity, MAP kinase kinase activity, MAP/ERK kinase kinase activity, ribosomal protein S6 kinase activity, Janus kinase activity, MAP kinase 1 activity, MP kinase activity, MAP kinase kinase kinase kinase activity, JUN kinase kinase activity, MAP kinase 2 activity, SAP kinase activity, transmembrane receptor protein kinase activity, cyclin-dependent protein kinase activating kinase activity, GTP-dependent protein kinase activity","GO:0004672, GO:0005524, GO:0006468, GO:0004674, GO:0004675, GO:0004676, GO:0004677, GO:0004679, GO:0004680, GO:0004681, GO:0004690, GO:0004694, GO:0004695, GO:0004696, GO:0004698, GO:0004700, GO:0004702, GO:0004704, GO:0004705, GO:0004706, GO:0004708, GO:0004710, GO:0004711, GO:0004718, GO:0008338, GO:0008339, GO:0008349, GO:0008545, GO:0016908, GO:0016909, GO:0019199, GO:0019912, GO:0034211","KOG0578","p21-activated serine/threonine protein kinase","Signal transduction mechanisms",NA,NA,2250,"RDEBS20247","RDEBS20247","Serine/threonine-protein kinase SKM1 (EC 2.7.1.-)","jgi.p|Debsub1|174942"
"2213",174953,1824,"1.3.3.4","Protoporphyrinogen oxidase.","Porphyrin and chlorophyll metabolism","3095, 4283, 4896","protoporphyrinogen oxidase activity, electron transport, porphyrin biosynthetic process","GO:0004729, GO:0006118, GO:0006779","KOG1276","Protoporphyrinogen oxidase","Coenzyme transport and metabolism",NA,NA,2669,"RDEBS18281","RDEBS18281","Protoporphyrinogen oxidase (EC 1.3.3.4)","jgi.p|Debsub1|174953"
"2214",174975,1825,"2.3.1.4","Glucosamine-phosphate N-acetyltransferase.","Aminosugars metabolism","5765, 5830, 2749","N-acetyltransferase activity, metabolic process, glucosamine 6-phosphate N-acetyltransferase activity","GO:0008080, GO:0008152, GO:0004343","KOG3396","Glucosamine-phosphate N-acetyltransferase","Cell wall/membrane/envelope biogenesis",NA,NA,4177,"RDEBS09334","RDEBS09334","Glucosamine-phosphate N-acetyltransferase (EC 2.3.1.4)","jgi.p|Debsub1|174975"
"2215",174989,1826,"2.3.1.-","Transferring groups other than amino-acyl groups.","Benzoate degradation via CoA ligation","5830, 6075, 2585, 2803, 2804, 5765, 6038, 6565, 9635, 9636, 9637, 9638, 9639, 9640, 9641, 9642, 9643, 9644, 9645, 9646, 9647, 9648, 9649, 9676, 9947, 9948, 9949, 9950, 9951, 9952, 10381, 10382, 11014, 11015, 11016, 11390, 11391, 11465, 11963, 11964, 11965, 15051, 19206, 19228, 19270, 19313, 21363","metabolic process, acyltransferase activity, dihydrolipoamide branched chain acyltransferase activity, H2A/H2B histone acetyltransferase activity, H3/H4 histone acetyltransferase activity, N-acetyltransferase activity, O-acyltransferase activity, palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity, carnitine O-acyltransferase activity, acetyltransferase activity, C-acyltransferase activity, palmitoyltransferase activity, N-acyltransferase activity, acylglycerol O-acyltransferase activity, serine O-acyltransferase activity, O-acetyltransferase activity, O-octanoyltransferase activity, octanoyltransferase activity, O-palmitoyltransferase activity, S-acyltransferase activity, S-acetyltransferase activity, S-malonyltransferase activity, malonyltransferase activity, C-palmitoyltransferase activity, succinyltransferase activity, N-succinyltransferase activity, O-succinyltransferase activity, S-succinyltransferase activity, sinapoyltransferase activity, O-sinapoyltransferase activity, peptidyl-lysine N6-myristoyltransferase activity, peptidyl-lysine N6-palmitoyltransferase activity, benzoyl acetate-CoA thiolase activity, 3-hydroxybutyryl-CoA thiolase activity, 3-ketopimelyl-CoA thiolase activity, N-palmitoyltransferase activity, myristoyltransferase activity, acyl-CoA N-acyltransferase activity, protein-cysteine S-myristoyltransferase activity, protein-cysteine S-palmitoleyltransferase activity, protein-cysteine S-acyltransferase activity, glucosaminyl-phosphotidylinositol O-acyltransferase activity, L-2-aminoadipate N-acetyltransferase activity, UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase activity, keto acid formate lyase activity, Ras palmitoyltransferase activity, azetidine-2-carboxylic acid acetyltransferase activity","GO:0008152, GO:0008415, GO:0004147, GO:0004405, GO:0004406, GO:0008080, GO:0008374, GO:0008951, GO:0016406, GO:0016407, GO:0016408, GO:0016409, GO:0016410, GO:0016411, GO:0016412, GO:0016413, GO:0016414, GO:0016415, GO:0016416, GO:0016417, GO:0016418, GO:0016419, GO:0016420, GO:0016454, GO:0016748, GO:0016749, GO:0016750, GO:0016751, GO:0016752, GO:0016753, GO:0018030, GO:0018031, GO:0018711, GO:0018712, GO:0018713, GO:0019105, GO:0019107, GO:0019186, GO:0019705, GO:0019706, GO:0019707, GO:0032216, GO:0043741, GO:0043764, GO:0043806, GO:0043849, GO:0046941","KOG2847","Phosphate acyltransferase","Lipid transport and metabolism",NA,NA,5135,"RDEBS03580","RDEBS03580","Lysophospholipid acyltransferase (EC 2.3.1.-)","jgi.p|Debsub1|174989"
"2216",175018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2929,"RDEBS16822","RDEBS16822",NA,"jgi.p|Debsub1|175018"
"2217",175133,1827,"2.4.1.34","1,3-beta-glucan synthase.","Starch and sucrose metabolism","18060, 147, 2309","cell wall biogenesis, 1,3-beta-glucan synthase complex, 1,3-beta-glucan synthase activity","GO:0042546, GO:0000148, GO:0003843","KOG4408","Putative Mg2+ and Co2+ transporter CorD","Inorganic ion transport and metabolism",NA,NA,1778,"RDEBS22936","RDEBS22936","Glucan synthesis regulator SMI1","jgi.p|Debsub1|175133"
"2218",175154,1828,"2.3.1.16","Acetyl-CoA C-acyltransferase.","Benzoate degradation via hydroxylation","2290, 5830, 2436","catalytic activity, metabolic process, acetyl-CoA C-acyltransferase activity","GO:0003824, GO:0008152, GO:0003988","KOG1389","3-oxoacyl CoA thiolase","Lipid transport and metabolism",NA,NA,1399,"RDEBS25109","RDEBS25109","3-ketoacyl-CoA thiolase (EC 2.3.1.16)","jgi.p|Debsub1|175154"
"2219",175202,1829,NA,NA,NA,NA,NA,NA,"KOG0758","Mitochondrial carnitine-acylcarnitine carrier protein","Energy production and conversion",NA,NA,1417,"RDEBS24969","RDEBS24969","Amino acid transporter arg-13","jgi.p|Debsub1|175202"
"2220",175209,1830,NA,NA,NA,"3043, 3736, 4602, 3079","protein kinase activity, ATP binding, protein amino acid phosphorylation, protein-tyrosine kinase activity","GO:0004672, GO:0005524, GO:0006468, GO:0004713",NA,NA,NA,NA,NA,1327,"RDEBS25459","RDEBS25459",NA,"jgi.p|Debsub1|175209"
"2221",175223,1831,NA,NA,NA,NA,NA,NA,"KOG0254","Predicted transporter (major facilitator superfamily)","General function prediction only",NA,NA,1361,"RDEBS25314","RDEBS25314","TRIACETYLFUSARININE C (IRON SIDEROPHORE) TRANSPORTER","jgi.p|Debsub1|175223"
"2222",175225,1832,NA,NA,NA,NA,NA,NA,"KOG4476","Gluconate transport-inducing protein","Carbohydrate transport and metabolism , Signal transduction mechanisms",NA,NA,2241,"RDEBS20298","RDEBS20298",NA,"jgi.p|Debsub1|175225"
"2223",175230,1833,NA,NA,NA,NA,NA,NA,"KOG2913","Predicted membrane protein","Function unknown",NA,NA,2369,"RDEBS19273","RDEBS19273",NA,"jgi.p|Debsub1|175230"
"2224",175248,1834,NA,NA,NA,"3043, 3736, 4602, 3045, 3052","protein kinase activity, ATP binding, protein amino acid phosphorylation, protein serine/threonine kinase activity, protein kinase CK2 activity","GO:0004672, GO:0005524, GO:0006468, GO:0004674, GO:0004682","KOG1290","Serine/threonine protein kinase","Signal transduction mechanisms",NA,NA,2506,"RDEBS18819","RDEBS18819","Serine/threonine-protein kinase SKY1 (EC 2.7.1.-)","jgi.p|Debsub1|175248"
"2225",175274,1835,"3.5.3.11","Agmatinase.","Arginine and proline metabolism","10008, 21295, 6403","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines, metal ion binding, agmatinase activity","GO:0016813, GO:0046872, GO:0008783","KOG2964","Arginase family protein","Amino acid transport and metabolism",NA,NA,2773,"RDEBS17694","RDEBS17694","Agmatinase (EC 3.5.3.11)","jgi.p|Debsub1|175274"
